Lat,Lon
42.02,-123.61
42.02,-123.57
42.02,-123.53
42.02,-123.49
42.02,-123.45
42.02,-123.41
42.02,-123.37
42.02,-123.33
42.02,-123.29
42.02,-123.25
42.02,-123.21
42.02,-123.17
42.02,-123.13
42.02,-123.09
42.02,-123.05
42.02,-123.01
42.02,-122.97
42.02,-122.93
42.02,-122.89
42.02,-122.85
42.02,-122.81
42.02,-122.77
42.02,-122.73
42.02,-122.69
42.02,-122.65
42.02,-122.61
42.02,-122.57
42.02,-122.53
42.02,-122.49
42.02,-122.45
42.02,-122.41
42.02,-122.37
42.02,-122.33
42.02,-122.29
42.02,-122.25
42.02,-122.21
42.02,-122.17
42.02,-122.13
42.02,-122.09
42.02,-122.05
42.02,-122.01
42.02,-121.97
42.02,-121.93
42.02,-121.89
42.02,-121.85
42.02,-121.81
42.02,-121.77
42.02,-121.73
42.02,-121.69
42.02,-121.65
42.02,-121.61
42.02,-121.57
41.98,-124.21
41.98,-124.17
41.98,-124.13
41.98,-124.09
41.98,-124.05
41.98,-124.01
41.98,-123.97
41.98,-123.93
41.98,-123.89
41.98,-123.85
41.98,-123.81
41.98,-123.77
41.98,-123.73
41.98,-123.69
41.98,-123.65
41.98,-123.61
41.98,-123.57
41.98,-123.53
41.98,-123.49
41.98,-123.45
41.98,-123.41
41.98,-123.37
41.98,-123.33
41.98,-123.29
41.98,-123.25
41.98,-123.21
41.98,-123.17
41.98,-123.13
41.98,-123.09
41.98,-123.05
41.98,-123.01
41.98,-122.97
41.98,-122.93
41.98,-122.89
41.98,-122.85
41.98,-122.81
41.98,-122.77
41.98,-122.73
41.98,-122.69
41.98,-122.65
41.98,-122.61
41.98,-122.57
41.98,-122.53
41.98,-122.49
41.98,-122.45
41.98,-122.41
41.98,-122.37
41.98,-122.33
41.98,-122.29
41.98,-122.25
41.98,-122.21
41.98,-122.17
41.98,-122.13
41.98,-122.09
41.98,-122.05
41.98,-122.01
41.98,-121.97
41.98,-121.93
41.98,-121.89
41.98,-121.85
41.98,-121.81
41.98,-121.77
41.98,-121.73
41.98,-121.69
41.98,-121.65
41.98,-121.61
41.98,-121.57
41.98,-121.53
41.98,-121.49
41.98,-121.45
41.98,-121.41
41.98,-121.37
41.98,-121.33
41.98,-121.29
41.98,-121.25
41.98,-121.21
41.98,-121.17
41.98,-121.13
41.98,-121.09
41.98,-121.05
41.98,-121.01
41.98,-120.97
41.98,-120.93
41.98,-120.89
41.98,-120.85
41.98,-120.81
41.98,-120.77
41.98,-120.73
41.98,-120.69
41.98,-120.65
41.98,-120.61
41.98,-120.57
41.98,-120.53
41.98,-120.49
41.98,-120.45
41.98,-120.41
41.98,-120.37
41.98,-120.33
41.98,-120.29
41.98,-120.25
41.98,-120.21
41.98,-120.17
41.98,-120.13
41.98,-120.09
41.98,-120.05
41.98,-120.01
41.94,-124.21
41.94,-124.17
41.94,-124.13
41.94,-124.09
41.94,-124.05
41.94,-124.01
41.94,-123.97
41.94,-123.93
41.94,-123.89
41.94,-123.85
41.94,-123.81
41.94,-123.77
41.94,-123.73
41.94,-123.69
41.94,-123.65
41.94,-123.61
41.94,-123.57
41.94,-123.53
41.94,-123.49
41.94,-123.45
41.94,-123.41
41.94,-123.37
41.94,-123.33
41.94,-123.29
41.94,-123.25
41.94,-123.21
41.94,-123.17
41.94,-123.13
41.94,-123.09
41.94,-123.05
41.94,-123.01
41.94,-122.97
41.94,-122.93
41.94,-122.89
41.94,-122.85
41.94,-122.81
41.94,-122.77
41.94,-122.73
41.94,-122.69
41.94,-122.65
41.94,-122.61
41.94,-122.57
41.94,-122.53
41.94,-122.49
41.94,-122.45
41.94,-122.41
41.94,-122.37
41.94,-122.33
41.94,-122.29
41.94,-122.25
41.94,-122.21
41.94,-122.17
41.94,-122.13
41.94,-122.09
41.94,-122.05
41.94,-122.01
41.94,-121.97
41.94,-121.93
41.94,-121.89
41.94,-121.85
41.94,-121.81
41.94,-121.77
41.94,-121.73
41.94,-121.69
41.94,-121.65
41.94,-121.61
41.94,-121.57
41.94,-121.53
41.94,-121.49
41.94,-121.45
41.94,-121.41
41.94,-121.37
41.94,-121.33
41.94,-121.29
41.94,-121.25
41.94,-121.21
41.94,-121.17
41.94,-121.13
41.94,-121.09
41.94,-121.05
41.94,-121.01
41.94,-120.97
41.94,-120.93
41.94,-120.89
41.94,-120.85
41.94,-120.81
41.94,-120.77
41.94,-120.73
41.94,-120.69
41.94,-120.65
41.94,-120.61
41.94,-120.57
41.94,-120.53
41.94,-120.49
41.94,-120.45
41.94,-120.41
41.94,-120.37
41.94,-120.33
41.94,-120.29
41.94,-120.25
41.94,-120.21
41.94,-120.17
41.94,-120.13
41.94,-120.09
41.94,-120.05
41.94,-120.01
41.9,-124.21
41.9,-124.17
41.9,-124.13
41.9,-124.09
41.9,-124.05
41.9,-124.01
41.9,-123.97
41.9,-123.93
41.9,-123.89
41.9,-123.85
41.9,-123.81
41.9,-123.77
41.9,-123.73
41.9,-123.69
