Lat,Lon
33.94,-118.17
33.94,-118.13
33.94,-118.09
33.94,-118.05
33.94,-118.01
33.94,-117.97
33.94,-117.93
33.94,-117.89
33.94,-117.57
33.94,-117.53
33.94,-117.49
33.94,-117.45
33.94,-117.41
33.94,-117.37
33.94,-117.29
33.94,-117.25
33.94,-117.21
33.94,-117.17
33.94,-117.09
33.94,-116.97
33.94,-116.85
33.94,-116.69
33.9,-118.41
33.9,-118.37
33.9,-118.33
33.9,-118.29
33.9,-118.25
33.9,-118.21
33.9,-118.17
33.9,-118.13
33.9,-118.09
33.9,-118.05
33.9,-118.01
33.9,-117.97
33.9,-117.93
33.9,-117.89
33.9,-117.85
33.9,-117.81
33.9,-117.77
33.9,-117.57
33.9,-117.53
33.9,-117.49
33.9,-117.45
33.9,-117.41
33.9,-117.37
33.9,-117.33
33.9,-117.25
33.9,-117.21
33.9,-117.17
33.9,-116.53
33.9,-116.49
33.9,-114.53
33.86,-118.37
33.86,-118.33
33.86,-118.29
33.86,-118.25
33.86,-118.21
33.86,-118.17
33.86,-118.13
33.86,-118.09
33.86,-118.05
33.86,-118.01
33.86,-117.97
33.86,-117.93
33.86,-117.89
33.86,-117.85
33.86,-117.81
33.86,-117.77
33.86,-117.73
33.86,-117.61
33.86,-117.57
33.86,-117.53
33.86,-117.45
33.86,-117.41
33.86,-117.37
33.86,-117.33
33.86,-117.29
33.86,-117.25
33.86,-117.21
33.86,-116.53
33.86,-114.53
33.82,-118.37
33.82,-118.33
33.82,-118.29
33.82,-118.25
33.82,-118.21
33.82,-118.17
33.82,-118.13
33.82,-118.09
33.82,-118.05
33.82,-118.01
33.82,-117.97
33.82,-117.93
33.82,-117.89
33.82,-117.85
33.82,-117.81
33.82,-117.77
33.82,-117.57
33.82,-117.53
33.82,-117.41
33.82,-117.29
33.82,-117.21
33.82,-117.13
33.82,-116.53
33.82,-116.49
33.82,-116.45
33.82,-116.41
33.78,-118.41
33.78,-118.37
33.78,-118.33
33.78,-118.29
33.78,-118.25
33.78,-118.21
33.78,-118.17
33.78,-118.13
33.78,-118.09
33.78,-118.05
33.78,-118.01
33.78,-117.97
33.78,-117.93
33.78,-117.89
33.78,-117.85
33.78,-117.81
33.78,-117.77
33.78,-117.49
33.78,-117.29
33.78,-117.25
33.78,-117.21
33.78,-116.97
33.78,-116.53
33.78,-116.45
33.78,-116.41
33.78,-116.37
33.78,-116.29
33.74,-118.37
33.74,-118.33
33.74,-118.29
33.74,-118.09
33.74,-118.05
33.74,-118.01
33.74,-117.97
33.74,-117.93
33.74,-117.89
33.74,-117.85
33.74,-117.81
33.74,-117.77
33.74,-117.21
33.74,-117.17
33.74,-117.09
33.74,-117.05
33.74,-116.97
33.74,-116.93
33.74,-116.89
33.74,-116.85
33.74,-116.41
33.74,-116.37
33.74,-116.33
33.74,-116.29
33.74,-116.25
33.74,-116.21
33.7,-118.05
33.7,-118.01
33.7,-117.97
33.7,-117.93
33.7,-117.89
33.7,-117.85
33.7,-117.81
33.7,-117.77
33.7,-117.73
33.7,-117.33
33.7,-117.25
33.7,-117.21
33.7,-117.13
33.7,-116.29
33.7,-116.25
33.7,-116.21
33.7,-116.09
33.66,-117.97
33.66,-117.93
33.66,-117.89
33.66,-117.85
33.66,-117.81
33.66,-117.77
33.66,-117.73
33.66,-117.69
33.66,-117.65
33.66,-117.61
33.66,-117.57
33.66,-117.33
33.66,-117.25
33.66,-117.21
33.66,-117.17
33.66,-117.13
33.66,-116.25
33.66,-115.81
33.66,-115.77
33.66,-115.73
33.66,-115.17
33.62,-117.93
33.62,-117.89
33.62,-117.85
33.62,-117.81
33.62,-117.73
33.62,-117.69
33.62,-117.65
33.62,-117.61
33.62,-117.57
33.62,-117.29
33.62,-117.17
33.62,-117.09
33.62,-116.17
33.62,-114.61
33.62,-114.57
33.58,-117.85
33.58,-117.73
33.58,-117.69
33.58,-117.65
33.58,-117.61
33.58,-117.25
33.58,-117.21
33.58,-117.17
33.58,-117.13
33.58,-117.09
