Lat,Lon
42.02,-122.61
41.9,-123.77
41.9,-121.33
41.82,-123.01
41.78,-124.17
41.74,-123.41
41.74,-122.65
41.74,-122.61
41.66,-123.45
41.66,-121.93
41.66,-121.25
41.62,-120.41
41.54,-124.05
41.54,-123.49
41.54,-122.37
41.5,-122.37
41.5,-120.53
41.46,-124.05
41.46,-122.89
41.46,-121.73
41.42,-120.69
41.38,-123.49
41.3,-124.05
41.26,-123.61
41.26,-122.13
41.26,-121.97
41.22,-123.65
41.18,-122.29
41.1,-123.69
41.06,-124.13
41.06,-123.69
41.06,-122.37
41.06,-121.37
41.02,-122.69
41.02,-120.85
40.94,-124.09
40.9,-124.09
40.9,-124.01
40.9,-123.61
40.9,-120.49
40.86,-124.09
40.78,-124.21
40.78,-124.17
40.78,-124.13
40.74,-124.21
40.74,-123.25
40.74,-123.21
40.7,-122.81
40.66,-122.37
40.66,-122.21
40.66,-120.77
40.62,-124.21
40.62,-122.53
40.62,-122.37
40.62,-122.33
40.58,-124.13
40.58,-122.49
40.58,-122.41
40.58,-122.37
40.58,-122.33
40.58,-120.25
40.54,-122.37
40.54,-122.33
40.5,-122.69
40.46,-122.29
40.42,-120.65
40.3,-122.65
40.3,-121.01
40.3,-120.53
40.22,-122.37
40.22,-121.21
40.18,-122.25
40.14,-123.81
40.14,-122.21
40.14,-122.13
40.14,-120.13
40.1,-121.69
40.06,-123.97
40.02,-122.21
40.02,-121.05
39.98,-122.17
39.94,-122.17
39.86,-120.85
39.86,-120.69
39.82,-123.21
39.78,-121.89
39.78,-120.61
39.74,-122.21
39.74,-122.01
39.74,-121.85
39.74,-121.81
39.74,-121.61
39.74,-121.57
39.7,-121.53
39.66,-122.53
39.66,-122.01
39.62,-121.69
39.58,-122.21
39.58,-121.69
39.54,-122.17
39.54,-121.69
39.54,-121.49
39.5,-121.69
39.5,-121.57
39.5,-121.53
39.5,-121.01
39.46,-121.53
39.42,-122.01
39.38,-123.09
39.38,-122.65
39.38,-121.69
39.34,-123.81
39.34,-120.25
39.34,-120.21
39.34,-120.17
39.3,-123.29
39.3,-122.49
39.26,-123.73
39.26,-121.01
39.26,-120.73
39.22,-123.77
39.22,-121.45
39.22,-121.05
39.22,-121.01
39.22,-120.77
39.18,-123.21
39.18,-121.57
39.18,-120.85
39.18,-120.13
39.14,-123.21
39.14,-123.17
39.14,-121.73
39.14,-121.69
39.14,-121.65
39.14,-121.61
39.14,-121.05
39.1,-123.49
39.1,-122.97
39.1,-122.49
39.1,-121.69
39.1,-121.65
39.1,-121.61
39.1,-121.57
39.1,-121.41
39.1,-121.33
39.06,-121.57
39.06,-121.09
39.06,-120.13
39.02,-123.69
39.02,-122.89
39.02,-122.69
39.02,-122.65
39.02,-122.49
38.98,-122.85
38.98,-122.69
38.98,-121.01
38.94,-122.61
38.94,-121.09
38.94,-121.05
38.94,-119.97
38.9,-123.69
38.9,-122.61
38.9,-121.33
38.9,-121.29
38.9,-120.97
38.86,-121.25
38.86,-120.01
38.82,-122.57
